"Proceso","Carpeta","Documento","Ruta","Fecha"
"Proyectos","2. Interno/Políticas","OPE-POL-02 V01 Política de Gestión y Control de Cambios en Infraestructura Tecnológica.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Políticas\OPE-POL-02 V01 Política de Gestión y Control de Cambios en Infraestructura Tecnológica.pdf","2026-03-19"
"Proyectos","2. Interno/Procedimientos","OPE-PRO-01.V07 Procedimiento de Gestión de Proyectos.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Procedimientos\OPE-PRO-01.V07 Procedimiento de Gestión de Proyectos.pdf","2025-02-26"
"Proyectos","3. Restringido/Indicadores/2024","Copia de Indicadores de gestión Operaciones 2024.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2024\Copia de Indicadores de gestión Operaciones 2024.xlsx","2025-03-27"
"Proyectos","3. Restringido/Indicadores/2024","Indicadores Operaciones.url","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2024\Indicadores Operaciones.url","2024-07-05"
"Proyectos","3. Restringido/Indicadores/2024/Minutas","PLE-FOR-03 V02 Formato de Minutas (2do Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2024\Minutas\PLE-FOR-03 V02 Formato de Minutas (2do Trimestre).docx","2024-09-04"
"Proyectos","3. Restringido/Indicadores/2024/Minutas","PLE-FOR-03 V02 Formato de Minutas (3re Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2024\Minutas\PLE-FOR-03 V02 Formato de Minutas (3re Trimestre).docx","2024-11-13"
"Proyectos","3. Restringido/Indicadores/2024/Minutas","PLE-FOR-03 V02 Formato de Minutas (4to Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2024\Minutas\PLE-FOR-03 V02 Formato de Minutas (4to Trimestre).docx","2025-02-03"
"Proyectos","3. Restringido/Indicadores/2025","Indicadores Operaciones 2025.url","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2025\Indicadores Operaciones 2025.url","2025-05-14"
"Proyectos","3. Restringido/Indicadores/2025/Minutas","PLE-FOR-03 V02 Formato de Minutas (1re Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2025\Minutas\PLE-FOR-03 V02 Formato de Minutas (1re Trimestre).docx","2025-05-14"
"Proyectos","3. Restringido/Indicadores/2025/Minutas","PLE-FOR-03 V02 Formato de Minutas (2do Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2025\Minutas\PLE-FOR-03 V02 Formato de Minutas (2do Trimestre).docx","2025-08-05"
"Proyectos","3. Restringido/Indicadores/2025/Minutas","PLE-FOR-03 V02 Formato de Minutas (3 Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2025\Minutas\PLE-FOR-03 V02 Formato de Minutas (3 Trimestre).docx","2025-11-12"
"Proyectos","3. Restringido/Indicadores/2025/Minutas","PLE-FOR-03 V02 Formato de Minutas (4 Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2025\Minutas\PLE-FOR-03 V02 Formato de Minutas (4 Trimestre).docx","2026-04-07"
"Proyectos","3. Restringido/Indicadores/2026","SGI-FOR-50 V01 Definición y medición de objetivos (1).xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2026\SGI-FOR-50 V01 Definición y medición de objetivos (1).xlsx","2026-04-28"
"Proyectos","3. Restringido/Indicadores/2026/Minutas","PLE-FOR-03 V02 Formato de Minutas (1 Trimestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Indicadores\2026\Minutas\PLE-FOR-03 V02 Formato de Minutas (1 Trimestre).docx","2026-04-28"
"Proyectos","3. Restringido/Minutas de Seguimiento","PLE-FOR-03 V02 Formato de Minutas (OPE).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Minutas de Seguimiento\PLE-FOR-03 V02 Formato de Minutas (OPE).docx","2024-10-03"
"Proyectos","3. Restringido/Minutas de Seguimiento","PLE-FOR-03 V02 Formato de Minutas - Reingeniería Procesos PMO.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Minutas de Seguimiento\PLE-FOR-03 V02 Formato de Minutas - Reingeniería Procesos PMO.pdf","2024-10-03"
"Proyectos","3. Restringido/Seguimiento Riesgos y Oportunidades/2024","PLE-FOR-03 V02 Formato de Minutas - SI & CN.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Seguimiento Riesgos y Oportunidades\2024\PLE-FOR-03 V02 Formato de Minutas - SI & CN.docx","2025-02-11"
"Proyectos","3. Restringido/Seguimiento Riesgos y Oportunidades/2024/1re. Semestre","PLE-FOR-03 V02 Formato de Minutas (1re Semestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Seguimiento Riesgos y Oportunidades\2024\1re. Semestre\PLE-FOR-03 V02 Formato de Minutas (1re Semestre).docx","2024-09-25"
"Proyectos","3. Restringido/Seguimiento Riesgos y Oportunidades/2025/1re. Semestre","PLE-FOR-03 V02 Formato de Minutas (1re Semestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Seguimiento Riesgos y Oportunidades\2025\1re. Semestre\PLE-FOR-03 V02 Formato de Minutas (1re Semestre).docx","2025-09-05"
"Proyectos","3. Restringido/Seguimiento Riesgos y Oportunidades/2025/2do. Semestre","PLE-FOR-03 V02 Formato de Minutas (2do Semestre).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\3. Restringido\Seguimiento Riesgos y Oportunidades\2025\2do. Semestre\PLE-FOR-03 V02 Formato de Minutas (2do Semestre).docx","2026-04-28"
"Proyectos","4. Confidencial/Acciones Correctivas","SGI-FOR-21. V02 Control Acciones correctivas y mejora - Operaciones.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\4. Confidencial\Acciones Correctivas\SGI-FOR-21. V02 Control Acciones correctivas y mejora - Operaciones.xlsx","2024-04-17"
"Servicios","1. Publico",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\1. Publico",
"Servicios","2. Interno/Anexos","SER-ANX-02. V03 Portafolio Servicios (Altas de Contratos).pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Anexos\SER-ANX-02. V03 Portafolio Servicios (Altas de Contratos).pdf","2025-04-22"
"Servicios","2. Interno/Caracterización","SGI-FOR-46 V01 Caracterización del Proceso - Operaciones - Servicios Soporte.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Caracterización\SGI-FOR-46 V01 Caracterización del Proceso - Operaciones - Servicios Soporte.pdf","2025-10-21"
"Servicios","2. Interno/Formatos","SER-FOR-01 V01 Bitácora del Servicio.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Formatos\SER-FOR-01 V01 Bitácora del Servicio.xlsx","2025-09-15"
"Servicios","2. Interno/Formatos","SER-FOR-08. V01 Informe Técnico de Falla.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Formatos\SER-FOR-08. V01 Informe Técnico de Falla.docx","2025-02-26"
"Servicios","2. Interno/Formatos","SER-FOR-09.V03  Matriz de Errores Conocidos (KEDB).xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Formatos\SER-FOR-09.V03  Matriz de Errores Conocidos (KEDB).xlsx","2025-02-26"
"Servicios","2. Interno/Manuales","SER-MAN-01.V03 Manual de Escalamiento a Cisco.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Manuales\SER-MAN-01.V03 Manual de Escalamiento a Cisco.pdf","2025-02-26"
